Shanghai
Lagos
Istanbul
Karachi
Mumbai
Moscow
São Paulo
Beijing
Guangzhou
Delhi
Lahore
Shenzhen
Seoul
Jakarta
Tianjin
Chennai
Tokyo
Cairo
Dhaka
Mexico City
Kinshasa
Bangalore
New York
London
Bangkok
Tehran
Dongguan
Ho Chi Minh City
Bogotá
Lima
Hong Kong
Hanoi
Hyderabad
Wuhan
Rio de Janeiro
Foshan
Ahmedabad
Baghdad
Singapore
Shantou
Riyadh
Jeddah
Santiago
Saint Petersburg
Qalyubia
Chengdu
Alexandria
Ankara
Chongqing
Kolkata
Xi'an
Surat
Johannesburg
Nanjing
Dar es Salaam
Yangon
Abidjan
Harbin
Zhengzhou
Suzhou
Sydney
New Taipei City
Los Angeles
Melbourne
Cape Town
Shenyang
Yokohama
Busan
Hangzhou
Quanzhou
Durban
Casablanca
Algiers
Berlin
Nairobi
Hefei
Kabul
Pyongyang
Madrid
Ekurhuleni
Pune
Addis Ababa
Changsha
Jaipur
Xuzhou
Wenzhou
For other more formats kindly visit www.downloadexcelfiles.com
Original source : en.wikipedia.org/wiki/List_of_cities_proper_by_population
